29022020,0
01032020,1
02032020,0
03032020,1
04032020,0
05032020,3
06032020,2
07032020,7
08032020,3
09032020,6
10032020,8
11032020,15
12032020,13
13032020,18
14032020,12
15032020,36
16032020,21
17032020,27
18032020,69
19032020,131
20032020,75
21032020,112
22032020,112
23032020,186
24032020,240
25032020,231
26032020,365
27032020,299
28032020,319
29032020,292
30032020,418
31032020,499
01042020,509
02042020,1 355
03042020,1 120
04042020,1 053
05042020,518
06042020,833
07042020,1 417
08042020,541
09042020,1 341
10042020,987
11042020,635
12042020,561
13042020,574
14042020,762
15042020,1 438
16042020,753
17042020,761
18042020,642
19042020,395
20042020,547
21042020,531
22042020,544
23042020,516
24042020,389
25042020,369
26042020,242
27042020,437
28042020,367
29042020,427
30042020,289
01052020,218
02052020,166
03052020,135
04052020,306
05052020,330
06052020,278
07052020,178
08052020,243
09052020,80
10052020,70
11052020,263
12052020,348
13052020,83
14052020,351
15052020,104
16052020,96
17052020,483
18052020,131
19052020,0000
20052020,110
21052020,83
22052020,74
23052020,43
24052020,35
25052020,65
26052020,98
27052020,66
28052020,0000
29052020,52
30052020,57
31052020,31
01062020,31
02062020,107
03062020,81
04062020,44
05062020,46
06062020,31
07062020,13
08062020,54
09062020,87
10062020,23
11062020,27
12062020,28
13062020,24
14062020,9
15062020,29
16062020,111
17062020,28
18062020,28
19062020,14
20062020,16
21062020,7
22062020,23
23062020,57
24062020,11
25062020,21
26062020,26
27062020,0000
28062020,0000
29062020,0000
30062020,30
01072020,18
02072020,14
03072020,18
04072020,0000
05072020,0000
06072020,0000
07072020,13
08072020,30
09072020,16
10072020,25
11072020,0000
12072020,0000
13072020,0000
14072020,0000
15072020,0000
16072020,18
17072020,14
18072020,0000
19072020,0000
20072020,0000
21072020,0000
22072020,7
23072020,10
24072020,10
25072020,0000
26072020,0000
27072020,0000
28072020,14
29072020,15
30072020,16
31072020,11
01082020,0000
02082020,0000
03082020,0000
04082020,2
05082020,9
06082020,7
07082020,12
08082020,0000
09082020,0000
10082020,0000
11082020,14
12082020,17
13082020,17
14082020,18
15082020,0000
16082020,0000
17082020,0000
18082020,22
19082020,17
20082020,12
21082020,23
22082020,9
23082020,1
24082020,15
25082020,16
26082020,0
27082020,32
28082020,20
29082020,6
30082020,4
31082020,29
01092020,26
02092020,25
03092020,20
04092020,0000
05092020,12
06092020,3
07092020,25
08092020,38
09092020,0000
